"HolderAddress","Balance","PendingBalanceUpdate"
"0xf7c9301c1245c6bc96543bf1bf5dfdb2de6f2679","89.1964203683858","No"
"0xc4d96e8a05c68d1b7e1bd409798a86cb919e4b35","0.222404013447154","No"
"0xb83b944a4565b141c61544429e81c6eb8851f88e","42.1628818663349","No"
"0xf952f00ed83999625a4d6c72a3671ed72b2bcafb","0.997366110980266","No"
"0x3fab8f7abf006bae13670a829e2d64f1aff5a31f","0.236081810899323","No"
"0x93b9965cdc531a2659d0982c83d2f56dc01b9fbe","0.425126712333401","No"
"0x3d2024d2f3e31307014ee12ac18aee08cef443b7","0.0624447574982669","No"
"0xeef90bf19a3944926ee58838eab6cf2554125dfe","0.188300670445322","No"
"0xc3b72f41dfb71fa863e6bf0e039e8ad6587452a6","1.95597106221926","No"
"0xe9186591e7b085ab57fb7142d70e430876856a1c","0.0413044162534361","No"
"0xbcf786a0067da6607cd22993e8ac99d1fd03d80d","0.0137681387511454","No"
"0x486c640bbde8a76384f7ed4e40bc295904216f85","0.0137681387511454","No"
"0x10318024c2351c48b04118e1cf580dbcf49270f4","0.0275362775022907","No"
"0x1c1dc4bc34de2cd2d244b6b486189044bf8394c0","0.0446171205129763","No"
"0x8e1343508cba64eb1ae15c17182685b4e38f37e1","0.00649831988746064","No"
"0x75acf03f62c217655372a0834aa7110beeb849b6","0.0137681387511454","No"
"0xeae519520fe649d72bc76d23d8ad1eb8b993d994","0.0137681387511454","No"
"0xe6e54576adb7bf680c551fbb73afacd41075ff9a","0.121159621010079","No"
"0xdbe58924071cd1fbb76412b72fe655d19e3ffe4f","0.00408783574228127","No"
"0xd54a20fe797e6b67ff4b39da41a7fc14e507fe45","0.0855235753582765","No"
"0xda6fdf1002bb0e2e5edc45440c3975dbb54799a8","0.0153311387511454","No"
"0x7817451f00a2cc72ec28eba72f35eeb025c25a13","0.459919162534361","No"
"0x20829158433b66d1125d3ee755df19bd769ade0c","0.110056748453943","No"
"0xbf3f350c6f28aaa6657c215ec70b79b69802d898","0.28405781117582","No"
"0xd2f7b3aaa7bca9dfbf00eebc9fe8e6bf2a4cd468","0.00688406937557268","No"
"0xc8f975a46a595defd87886e06baa7cc001795dd1","0.0413044162534361","No"
"0x330a59f4fdf8d5ae7f299191b81f8628737b66b0","0.0197332931279193","No"
"0xa63b833c4bb36bf5e9d1c981fb17a4ff37dd68f3","0.0200131501321988","No"
"0x9e82778c71d6f2b8e0dfa16a0d6d81b059e19254","0.0284227547512495","No"
"0x502049ae1c1c08b38a4ae2d9f07d789d909fb0c9","0.0210444720374353","No"
"0x35543c6d6a00e85f896b49d5061e5bef6e3ae7e3","0.0426834578134006","No"
"0x4aa54c0a095789e8d94d8f0b4b64ea265d1713e0","0.247848059802715","No"
"0x44b9b85d4286723d926f67755b07f6fd24625224","0.428474494418909","No"
"0x4a8afdd531c59b8384febbe058ea30ac7cb9b138","0.0147437350513301","No"
"0x585f01faa300a2d317b5cba87ea8b3ce90700e32","0.286784450303811","No"
"0x147f5ff38649d55a05332a789835edae19955ba9","0.14089494588611","No"
"0xa70c0f6bff4fd0002459b75c5349a5fa18f37303","0.175647784046758","No"
"0x9fe2f1a231c5940382174a0d1303235ccbe06576","0.160356549803785","No"
"0x685cbf8c9e426648093afae29587a6b4d50279a0","0.699760253555221","No"
"0xa59e22f1425fce0b0d5450cae2369f9243158cee","0.137681387511454","No"
"0x18198e555653587de6042d4a5d0c09e1ad9b760f","0.867374760132949","No"
"0x2d00432d0055aa40497d99d7ad25d9f7286ffed3","0.138141955158515","No"
